Name,GEOID20,TAPERSONS,total_TAPERSONS
Alki/Admiral,530330097013008,0,11806
Alki/Admiral,530330097013009,181,11806
Alki/Admiral,530330097013010,204,11806
Alki/Admiral,530330097013011,225,11806
Alki/Admiral,530330097013012,92,11806
Alki/Admiral,530330097013013,94,11806
Alki/Admiral,530330097013014,33,11806
Alki/Admiral,530330097013015,121,11806
Alki/Admiral,530330097013016,0,11806
Alki/Admiral,530330097013017,75,11806
Alki/Admiral,530330097013018,54,11806
Alki/Admiral,530330097013019,0,11806
Alki/Admiral,530330097013020,0,11806
Alki/Admiral,530330097013021,35,11806
Alki/Admiral,530330097013022,155,11806
Alki/Admiral,530330097013023,46,11806
Alki/Admiral,530330097013024,26,11806
Alki/Admiral,530330097014000,124,11806
Alki/Admiral,530330097014001,135,11806
Alki/Admiral,530330097014002,69,11806
Alki/Admiral,530330097014003,28,11806
Alki/Admiral,530330097014004,22,11806
Alki/Admiral,530330097014005,131,11806
Alki/Admiral,530330097014006,56,11806
Alki/Admiral,530330097014007,86,11806
Alki/Admiral,530330097014008,58,11806
Alki/Admiral,530330097014009,59,11806
Alki/Admiral,530330097014010,60,11806
Alki/Admiral,530330097014011,70,11806
Alki/Admiral,530330097014012,62,11806
Alki/Admiral,530330097014013,55,11806
Alki/Admiral,530330097014014,205,11806
Alki/Admiral,530330097014015,65,11806
Alki/Admiral,530330097014016,0,11806
Alki/Admiral,530330097014017,66,11806
Alki/Admiral,530330097014018,79,11806
Alki/Admiral,530330097014019,37,11806
Arbor Heights,530330120001000,54,7341
Arbor Heights,530330120001001,124,7341
Arbor Heights,530330120001002,19,7341
Arbor Heights,530330120001003,57,7341
Arbor Heights,530330120001004,56,7341
Arbor Heights,530330120001005,38,7341
Arbor Heights,530330120001006,26,7341
Arbor Heights,530330120001007,121,7341
Arbor Heights,530330120001008,74,7341
Arbor Heights,530330120001009,61,7341
Arbor Heights,530330120001010,58,7341
Arbor Heights,530330120001011,81,7341
Arbor Heights,530330120001012,38,7341
Arbor Heights,530330120001013,56,7341
Arbor Heights,530330120001014,33,7341
Arbor Heights,530330120001015,44,7341
Arbor Heights,530330120001016,112,7341
Arbor Heights,530330120001017,30,7341
Arbor Heights,530330120001018,42,7341
Arbor Heights,530330120001019,61,7341
Arbor Heights,530330120002000,111,7341
Arbor Heights,530330120002001,21,7341
Arbor Heights,530330120002002,44,7341
Arbor Heights,530330120002003,51,7341
Arbor Heights,530330120002004,61,7341
Arbor Heights,530330120002005,60,7341
Arbor Heights,530330120002006,36,7341
Arbor Heights,530330120002007,63,7341
Arbor Heights,530330120002008,69,7341
Arbor Heights,530330120002009,68,7341
Arbor Heights,530330120002010,68,7341
Arbor Heights,530330120002011,56,7341
Arbor Heights,530330120002012,64,7341
Arbor Heights,530330120002013,59,7341
Arbor Heights,530330120002014,41,7341
Arbor Heights,530330120002015,52,7341
Arbor Heights,530330120002016,60,7341
Arbor Heights,530330120002017,90,7341
Arbor Heights,530330120002018,32,7341
Arbor Heights,530330120002019,48,7341
Arbor Heights,530330120002020,40,7341
Arbor Heights,530330120002021,27,7341
Arbor Heights,530330120003000,41,7341
Arbor Heights,530330120003001,61,7341
Arbor Heights,530330120003002,51,7341
Arbor Heights,530330120003003,55,7341
Arbor Heights,530330120003004,43,7341
Arbor Heights,530330120003005,65,7341
Arbor Heights,530330120003006,67,7341
Arbor Heights,530330120003007,52,7341
Arbor Heights,530330120003008,53,7341
Arbor Heights,530330120003009,59,7341
Arbor Heights,530330120003010,48,7341
Arbor Heights,530330120003011,45,7341
Arbor Heights,530330120003012,64,7341
Arbor Heights,530330120003013,44,7341
Arbor Heights,530330120003014,35,7341
Arbor Heights,530330120003015,46,7341
Arbor Heights,530330120003016,50,7341
Arbor Heights,530330120003017,47,7341
Arbor Heights,530330120003018,50,7341
Arbor Heights,530330120003019,64,7341
Arbor Heights,530330120003020,52,7341
